exp,model,step,revision,block,layer,n_layers,probe_loss,E1_raw,E1_ds,ER_raw,ER_ds,RankMe_raw,RankMe_ds,aniso_raw,aniso_ds,aniso_uncentered_raw,aniso_uncentered_ds,gap_ratio,sink_alpha,p0_mass,mu_norm,mean_token_norm,proj_check,n_tokens,d
e1,pythia-1.4b,0,step0,seed0,0,24,11.096721649169922,0.03912105066721128,0.038358467165372064,628.6624504392909,688.1959610162696,1748.021491656215,1760.131848338344,5.474912014455213e-07,0.0005761460858283667,0.007481922487043054,0.010235498500875618,1.0302444732560159,1.000409274274143,0.0018713542274856935,0.05481501514933008,0.6323297042352128,1.0000001279607134,200704,2048
e1,pythia-1.4b,0,step0,seed0,1,24,11.096721649169922,0.038455968509522535,0.03825700016774404,512.8511471830125,555.5855090344381,1561.3311510960202,1572.6981890479806,1.925564474174223e-06,0.0005024980943433719,0.1245456660694285,0.131914053060959,1.0224494180850587,1.2762982512421486,0.0021143513899752036,1.0200556928336655,2.890328259891545,1.0000000102520004,200704,2048
e1,pythia-1.4b,0,step0,seed0,2,24,11.096721649169922,0.03961953559137899,0.03999333031042627,470.83022649797743,510.1902468612231,1496.0532961085914,1507.54668137428,-1.1327851384079004e-06,0.0006089522599361798,0.2030057152692029,0.2150713005179927,1.0156387133297542,1.2536524086622716,0.0017979018812326396,1.8911096295707392,4.196632157212921,0.9999999893550937,200704,2048
e1,pythia-1.4b,0,step0,seed0,3,24,11.096721649169922,0.03965066184573491,0.03932820708959153,454.6258450912449,491.96797654482276,1464.6414948157017,1476.0355638219537,1.9006492068365432e-07,0.0005095696085701156,0.2508075092914901,0.26218252482486515,1.0246098479007077,1.2395404631434856,0.001503431356064107,2.6029350495905357,5.197965582490575,1.0000000123162212,200704,2048
e1,pythia-1.4b,0,step0,seed0,4,24,11.096721649169922,0.041004592634520054,0.03796575406006647,444.9109882455167,483.0719706078775,1444.7509689644014,1456.4274524922348,7.961246132455887e-07,0.0005376044783566654,0.2902304462119144,0.3040085658666843,1.061235995447631,1.2229612760711395,0.0013943510767394324,3.275335830240417,6.080999727265871,0.9999999941089767,200704,2048
e1,pythia-1.4b,0,step0,seed0,5,24,11.096721649169922,0.04172416535978042,0.038088075489201935,436.43246042160513,474.5504030289535,1430.365897840319,1442.1833603273776,-5.599570311269216e-08,0.0005138540838696001,0.31355240558378517,0.3274418709866288,1.0691879268856062,1.2161935681202556,0.0013822354549708194,3.8262610725102792,6.834801812029006,0.9999999997153768,200704,2048
e1,pythia-1.4b,0,step0,seed0,6,24,11.096721649169922,0.04132859335860428,0.038146911353869946,432.6292145896543,469.651255067593,1420.7341036511357,1432.4084288886095,-6.157053814497714e-07,0.0004804335028082883,0.3393512040534303,0.3530376472575856,1.0630672397685625,1.2057696324728933,0.00128907822864478,4.396663678525484,7.549719354555923,0.9999999907388347,200704,2048
e1,pythia-1.4b,0,step0,seed0,7,24,11.096721649169922,0.040948681096238365,0.0376067189136868,429.0162527714805,465.00884988411644,1412.316383089031,1423.858871283797,-1.4980166813624602e-06,0.0004320048097054713,0.3614990165242892,0.37466762120043057,1.0655315502720353,1.196051747620158,0.0012468186814882742,4.9416969223554075,8.221382364022487,0.9999999913859158,200704,2048
e1,pythia-1.4b,0,step0,seed0,8,24,11.096721649169922,0.04020825776144483,0.03781091395307659,427.3628088808909,462.0786442306074,1406.1508638333953,1417.471393911882,-3.220642448947196e-07,0.0004053829230417419,0.3866884490298898,0.3996672274473477,1.0525931407331905,1.1861171798232397,0.0012180371000086738,5.525066589634127,8.887547288850254,1.000000004464955,200704,2048
e1,pythia-1.4b,0,step0,seed0,9,24,11.096721649169922,0.040042165379208655,0.038253611782776004,425.19145437230424,459.3978233768804,1400.1040759491423,1411.3550963464754,8.365995619812758e-09,0.00037817495903417434,0.4018177665638425,0.41486402288298213,1.0442307446465933,1.1806049444756825,0.001214714268131021,6.002984747039885,9.472775936050683,0.9999999952452278,200704,2048
